Exp,Material,Sample,Sample ID,Identifier,FINAL,Ratio,RSD ppm,Analysis Done By,Unnamed: 8
E15,Sm,RP (Total),E15 Sm RP (Total),A,150/148,0.651917085,390.0,,
E15,Sm,RP (Total),E15 Sm RP (Total),A,152/148,3.502929339,630.0,,
E15,Sm,RP (Total),E15 Sm RP (Total),A,154/148,2.545,515.64,,
E14,Sm,Nat,E14 Sm Nat,A,144/148,0.529,267.36,,
E14,Sm,Nat,E14 Sm Nat,A,147/148,1.896,135.5,,
E14,Sm,Nat,E14 Sm Nat,A,149/148,1.435,150.3,,
E14,Sm,Nat,E14 Sm Nat,A,150/148,0.798,198.62,,
E14,Sm,Nat,E14 Sm Nat,A,152/148,2.956,312.49,,
E14,Sm,Nat,E14 Sm Nat,A,154/148,2.52,615.83,,
T05,Lu,Nat,T05 Lu Nat,A,176/175,0.045,342.31,,
T05,Lu,CP,T05 Lu CP,A,176/175,12.768,321.48,,
T05,Lu,Tails,T05 Lu Tails,A,176/175,0.043,734.77,,
T06,Lu,Nat,T06 Lu Nat,A,176/175,0.046,475.84,,
T06,Lu,CP,T06 Lu CP,A,176/175,3.494,166.65,,
T06,Lu,CP,T06 Lu CP,B,176/175,3.505,98.26,,
T06,Lu,CP,T06 Lu CP,C,176/175,3.515,123.01,,
T06,Lu,Tails,T06 Lu Tails,A,176/175,0.042,528.13,,
T06,Lu,Tails,T06 Lu Tails,B,176/175,0.043,424.88,,
T06,Lu,Tails,T06 Lu Tails,C,176/175,0.043,421.95,,
T07,Lu,Nat1000,T07 Lu Nat1000,A,176/175,0.045,868.87,,
T07,Lu,Nat1000,T07 Lu Nat1000,B,176/175,0.045,784.83,,
T07,Lu,Nat2000,T07 Lu Nat2000,C,176/175,0.045,749.94,,
T07,Lu,CPM,T07 Lu CPM,A,176/175,8.703,212.83,,
T07,Lu,CPM,T07 Lu CPM,B,176/175,8.706,129.37,,
T07,Lu,CPM,T07 Lu CPM,C,176/175,8.709,103.81,,
T07,Lu,Tails,T07 Lu Tails,A,176/175,0.042,483.86,,
T07,Lu,Tails,T07 Lu Tails,B,176/175,0.042,377.57,,
T07,Lu,CP(TB),T07 Lu CP(TB),A,176/175,4.584,234.28,,
T05,Lu,Nat4000,T05 Lu Nat4000,A,176/175,0.045,392.31,,
T05,Lu,CP,T05 Lu CP,A,176/175,12.768,341.48,,
T05,Lu,Tails,T05 Lu Tails,A,176/175,0.043,734.77,,
T06,Lu,Nat1000,T06 Lu Nat1000,A,176/175,0.046,575.84,,
T06,Lu,CP,T06 Lu CP,D,176/175,3.494,156.65,,
T06,Lu,CP,T06 Lu CP,E,176/175,3.505,78.26,,
T06,Lu,CP,T06 Lu CP,F,176/175,3.515,113.01,,
